,Player Season,Player ID,Converse Defense Attempts,Converse Defense Success,Converse Pass Attempts,Converse Pass Success,Converse Rec Attempts,Converse Rec Success,Converse Rush Attempts,Converse Rush Success,Converse Turnover Success
0,2013,01291a8d-d97c-4d88-b497-b5ad4b72f626,0,0,1,1,0,0,0,0,0
1,2013,1c6daf8e-d6dc-4d88-a5fa-c3ebcd93a6e5,0,0,1,1,0,0,0,0,0
2,2013,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,0,0,1,1,0,0,0,0,0
3,2013,af4ba620-2f00-4b00-9111-7897f2b1cde8,0,0,1,1,0,0,0,0,0
4,2013,b228c353-bb1f-4ba8-aa6d-d18ecf297259,0,0,1,1,0,0,0,0,0
5,2014,0d1171d4-c955-4966-9257-640b569866d1,0,0,0,0,0,0,1,1,0
6,2014,22fb2b54-4936-4e8a-a48d-62096c0c9bb1,0,0,0,0,0,0,1,1,0
7,2014,3aef6950-1c19-4454-a3d0-0afe9634ea9f,0,0,0,0,0,0,1,1,0
8,2014,471dbe81-54c4-4b52-8bd1-4933c9800e1f,0,0,0,0,0,0,1,1,0
9,2014,51952c7b-11c5-4229-baf9-08d4694cc2ad,0,0,0,0,0,0,1,1,0
10,2014,54d4e35a-2e6c-48f6-86ad-92dd596c173c,0,0,0,0,0,0,1,1,0
11,2014,9b13d2bc-b22c-4f91-8eeb-309f43422d6e,0,0,0,0,0,0,1,1,0
12,2014,b24625a0-d402-4d59-a778-aa4b073bfe5e,0,0,0,0,0,0,1,1,0
13,2014,b6a61b38-5cfa-46eb-b1c5-b0255d7ebaf5,0,0,0,0,0,0,1,1,0
14,2016,00f88be8-45f9-4237-b2b8-3271ec790d07,0,0,0,0,3,2,0,0,0
15,2016,0ee05dd7-e99e-43c8-ba2b-0922be1d8be1,0,0,0,0,3,2,0,0,0
16,2016,27e60657-f73d-4125-906d-aa72cc3477dc,0,0,0,0,3,2,0,0,0
17,2016,2e56cca7-b898-4aac-bbc5-b5bda9163be1,0,0,0,0,3,2,0,0,0
18,2016,480277d1-47c9-44df-969e-038a84cd0fea,0,0,0,0,3,2,0,0,0
19,2016,540f8b30-900e-4d17-8756-c262ba5fa039,0,0,0,0,3,2,0,0,0
20,2016,5a20a439-bebc-4ef7-8b9f-30e1d677a26b,0,0,0,0,3,2,0,0,0
21,2016,996974b8-2e0a-47d9-90a7-c3455192d06b,0,0,0,0,3,2,0,0,0
22,2016,9f026fc0-4449-4dc5-a226-2e2830619381,0,0,0,0,3,2,0,0,0
23,2016,adadafa1-dc37-486d-8538-7db1e1b5f71e,0,0,0,0,3,2,0,0,0
24,2016,c78c299b-7c73-40fc-9155-2ede7f9849c7,0,0,0,0,3,2,0,0,0
25,2016,c7b7d27f-97c3-4c12-95c4-36205175c959,0,0,0,0,3,2,0,0,0
26,2016,cf23126f-055b-4617-819b-bb4bcb84541a,0,0,0,0,3,2,0,0,0
27,2016,fe767946-236d-4c04-9c59-5e3edd51acfe,0,0,0,0,3,2,0,0,0
